Eigenvector centrality,Closeness centrality,Betweenness centrality,Degree centrality
0.504293893129771,0.5004770992366412,0.504293893129771,0.5004770992366412
0.5159136959970803,0.4950886902082934,0.5213526090723151,0.503350920727955
0.5209615396786457,0.49289479807657405,0.5278603235481113,0.5048816918090495
0.5221149028337749,0.491547849924061,0.528562266627524,0.5070872260399379
0.521869630169573,0.4921470021493422,0.5282855610796714,0.5068502773535043
0.5226649215201702,0.4931701792511385,0.5267643441786963,0.5026588165709481
0.5215521625592769,0.49603077464935613,0.5277245028290799,0.5027949181456403
0.5234743553208985,0.49542555210103545,0.52770013864568,0.5039177682467547
0.5244161679956542,0.4951503819493818,0.5286210467638119,0.5034662794241402
0.523867060211537,0.49570882254124204,0.5285116783891605,0.5037086165156743
0.5245217457478586,0.4951929954341644,0.5291623784482374,0.5033506993197434
0.5244102583690803,0.49508151450379234,0.5287257393387441,0.5028700146541568
0.5243007880882495,0.4958505950974017,0.5284035450920597,0.5021119606212314
0.5237876330172863,0.4960537746157243,0.5280465086801815,0.5015407364766759
0.5233933118366971,0.4970971144066438,0.5286899116857089,0.5016106621938365
0.5230300907262619,0.49748660780506965,0.5283064254321462,0.5020735513392095
0.5237783573130605,0.4977412201030797,0.5283018628193875,0.5016632420510034
0.5238941079091967,0.4977316550355224,0.5280282776807294,0.5014167817876196
0.5237287899046991,0.49794885811384737,0.5280399398632382,0.5016513916871578
0.5241435596422976,0.49779204397670124,0.5277403124613248,0.5019276240555878
0.5247844982884284,0.49744732426380694,0.5275185760203661,0.501979297463987
0.5248372793058299,0.497342426149724,0.5273492916081991,0.5020940524989711
0.5248782214791508,0.49754991861940523,0.5277551179613099,0.501910805291991
0.5251716982026268,0.4978190762472612,0.5274410194386687,0.5017303285039909
0.5251293130357,0.49814722964549113,0.5271045267713459,0.5017278276414775
0.5251376663503612,0.4980771040835591,0.5271157288671864,0.5017684273909828
0.5253214454559898,0.49799857459109376,0.5268434263468899,0.5018337098619555
0.5256346662611594,0.49750826530580056,0.5265231822616768,0.5017611505235231
0.5256388348435954,0.4975057683395662,0.5262739187008207,0.5017106646716993
0.5251926769507332,0.4974922992429835,0.5263921650845363,0.5015426191101737
0.5256379971336654,0.49733863041737497,0.5265704328999523,0.5017941963451423
0.5257472431769544,0.49723121016625516,0.5268238418602165,0.5019425572527099
0.5254618372542962,0.4970566773784657,0.5267387779706151,0.5016494337358812
0.5253025436108519,0.4973289180530391,0.5268876573333786,0.5015984301090691
0.5251728924099778,0.4973922155917836,0.526837706124784,0.5016977006643415
0.525278879583982,0.49746787044202545,0.5270903463667604,0.5017889885460073
0.5253147871514613,0.4974782143407013,0.5271260387347992,0.5018902282583535
0.5253572547672778,0.49773056759155104,0.527163371108153,0.5020754899008171
0.5256312438663696,0.4978478384988795,0.5272022218008725,0.5019851969102792
0.525784944848421,0.4980213136531936,0.5269674472925366,0.5017390116157545
0.525896987529092,0.49793045530522995,0.5270633135682758,0.5016298322290856
0.5258134612922369,0.49796686432948783,0.5270217406899581,0.5015784431871916
0.5255726297500484,0.498376870209304,0.5268659014275886,0.5016357831474856
0.525568900765657,0.4983246222604642,0.526863062184398,0.5016559231778437
0.5253759799504201,0.4984947428449997,0.5266512538496156,0.5014867546915677
0.5254620993994616,0.498617337594431,0.5264730791525478,0.501383416710275
0.5253253863846401,0.49854009678624395,0.5264266231232904,0.5016756823439894
0.5254106380098444,0.49871142262022317,0.526310478665379,0.5017713264165896
0.5254481456868003,0.49872098014960115,0.5263172998431235,0.5019215355284355
0.5253448564549725,0.49869560183099915,0.5262686371114988,0.501909552531849
0.5254232967272331,0.49851278446903496,0.5262593990354899,0.502087563839266
0.5253980662255497,0.49847953161645514,0.5260259541615748,0.5023089881969898
0.5255003082725654,0.4982134529884934,0.5260346546512116,0.5023950387095687
0.5254729039797098,0.4981140023308152,0.5259437017059235,0.502328323415403
0.5253968469586239,0.4981867907749692,0.5258035829177404,0.5026545247937146
0.5252142732223837,0.4983678216407378,0.5259043826757943,0.5025954719539969
0.525207513948987,0.49851541063003874,0.5259989364415619,0.5025580439390833
0.5252054972552554,0.4984431350205611,0.5258813263522543,0.5023379081828832
0.5252189568339115,0.498457645959642,0.5258925192560797,0.502418796155433
0.5251931598113493,0.4986051108838128,0.52601730147049,0.5024086972284344
0.525342571068684,0.49865713544603885,0.5261241980397154,0.5023925816539023
0.525148353143404,0.4984531927869281,0.5260631368821079,0.5023888157706784
0.5250489544504382,0.4984555992632928,0.5262610563099995,0.5023651548674526
0.5249579735023148,0.49845237465785464,0.5261347082773016,0.5024159473246642
0.5248142171487123,0.49837963781986583,0.5262280097668031,0.5022620440849922
